SORU,CEVAP
“… altından sopa göstermek” deyiminde boş bırakılan ve “kalın kumaş” anlamına gelen sözcük nedir?,ABA
“Yazla kış arasındaki mevsim” anlamında kullanılan “Sonbahar” kelimesinin eş anlamlısı nedir?,GÜZ
"“… bekçisi” söz öbeğinde boş bırakılan ve “kaleci” kelimesinin dolaylaması olarak kullanılan “Yün, pamuk vb. ipliklerden düğümlerle oluşmuş ağ” anlamındaki sözcük nedir?",FİLE
"Hem “Yeryüzünün denizle örtülü olmayan bölümü” hem de  “En koyu renk; siyah, ak, beyaz karşıtı” anlamına gelen sesteş sözcük nedir?",KARA
Hem ”Hafifçe topallayan canlı” hem de “İyi gitmeyen iş” anlamlarına gelen sözcük nedir?,AKSAK
"“Para ve malını esirgemeden veren; açık elli, ahi” anlamına gelen sözcüğün zıt anlamlısı nedir?",CİMRİ
“İstenen veya hoşa giden bir şeyin olmasıyla duyulan coşku” anlamına gelen soyut sözcük nedir?,SEVİNÇ
"Gerçek anlamı “Çok kesici, iyi kesen” mecaz anlamı da “kıvrak” olan sözcük nedir?",KESKİN
"“Büyük zarar, üzüntü ve sıkıntılara yol açan olay veya durum; yıkım” anlamına gelen eylem nedir?",FELAKET
"Atatürk’ün “Benim naçiz vücudum elbet bir gün toprak olacaktır, ancak Türkiye Cumhuriyeti ilelebet ……… kalacaktır.” sözünde boş bırakılan ve “sonsuza kadar yaşayacak ve kalıcı olan” anlamına gelen sözcük nedir?",PAYİDAR
"“Olay, düşünce, duygu ve hayallerin dil aracılığıyla sözlü veya yazılı olarak biçimlendirilmesi sanatı; yazın” anlamına gelen sözcük nedir?",EDEBİYAT
"“İki veya daha çok şeyin birbiriyle bağlı bulunması; ilişki, irtibat” anlamına gelen aynı zamanda dilimize yabancı sözcüklerden girmiş “link” kelimesinin de Türkçesi olan sözcük nedir?",BAĞLANTI
“Deniz yüzeyinin altında ve üstünde yol alabilen savaş veya araştırma gemisi” anlamına gelen birleşik yapılı sözcük nedir?,DENİZALTI
"“Ekonomi uzmanı, iktisatçı” anlamına gelen ve meslek bildiren sözcük nedir?",EKONOMİST
"“Çok tekrar edilen bir şeyi iyice öğrenmiş olmak, bir şeyi olduğu gibi akılda tutmak” anlamında kullanılan eylem nedir?",EZBERLEMEK
“Rahatlık içinde kal” anlamında kullanılan ve bir yere giderken geride kalanlar için söylenen sözcük nedir?,SAĞLICAKLA
